"TaxonToothtype","Epoch","CBL","CBW","CBR","CHR","DC","DDL","CH"
"Masiakasaurus lateral","Late Cretaceous",2.86,2.04,0.713286713286713,2.17832167832168,40,0.125,6.23
"Masiakasaurus lateral","Late Cretaceous",3.04,1.85,0.608552631578947,1.56578947368421,40,0.125,4.76
"Masiakasaurus lateral","Late Cretaceous",5.06,2.04,0.403162055335968,1.72134387351779,18.33,0.272776868521549,8.71
"Masiakasaurus lateral","Late Cretaceous",2.41,1.29,0.535269709543568,1.90041493775934,40,0.125,4.58
"Masiakasaurus lateral","Late Cretaceous",6.27,3.14,0.500797448165869,1.81658692185008,15,0.333333333333333,11.39
"Masiakasaurus lateral","Late Cretaceous",2.76,1.37,0.496376811594203,1.57246376811594,35,0.142857142857143,4.34
"Masiakasaurus lateral","Late Cretaceous",4.64,2.45,0.52801724137931,2.55172413793103,15,0.333333333333333,11.84
"Masiakasaurus lateral","Late Cretaceous",5.3,2.28,0.430188679245283,1.31320754716981,25,0.2,6.96
"Masiakasaurus lateral","Late Cretaceous",6.15,3.02,0.491056910569106,2.31707317073171,22.5,0.222222222222222,14.25
"Masiakasaurus lateral","Late Cretaceous",7.09,3.48,0.49083215796897,1.47249647390691,18.5,0.27027027027027,10.44
"Masiakasaurus lateral","Late Cretaceous",4.62,2.5,0.541125541125541,2.51948051948052,15,0.333333333333333,11.64
"Masiakasaurus lateral","Late Cretaceous",4.94,2.42,0.489878542510121,1.73684210526316,20,0.25,8.58
"Masiakasaurus lateral","Late Cretaceous",4.94,2.42,0.489878542510121,1.37651821862348,20,0.25,6.8
"Masiakasaurus lateral","Late Cretaceous",5.47,2.22,0.405850091407678,1.61974405850091,16.7,0.29940119760479,8.86
"Masiakasaurus lateral","Late Cretaceous",5.15,3.03,1.7,0.4,15,0.333333333333333,13.34
"Majungasaurus  mesial","Late Cretaceous",12.16,10.94,0.899671052631579,1.61513157894737,8.5,0.588235294117647,19.64
"Majungasaurus  mesial","Late Cretaceous",15.01,12.45,0.829447035309793,1.85542971352432,8.5,0.588235294117647,27.85
"Majungasaurus  mesial","Late Cretaceous",15.3,8.79,0.574509803921569,1.55882352941176,7.5,0.666666666666667,23.85
"Majungasaurus  mesial","Late Cretaceous",14.9,8.32,0.558389261744967,2.13422818791946,8,0.625,31.8
"Majungasaurus  lateral","Late Cretaceous",17.93,9.16,0.510875627440045,1.86335750139431,9.5,0.526315789473684,33.41
"Majungasaurus  lateral","Late Cretaceous",18.13,9.39,0.517926089354661,1.93491450634308,9,0.555555555555556,35.08
"Majungasaurus  lateral","Late Cretaceous",18.7,8.4,0.449197860962567,1.65668449197861,8,0.625,30.98
"Majungasaurus  lateral","Late Cretaceous",18.47,8.9,0.481862479696806,1.88738494856524,8.5,0.588235294117647,34.86
"Majungasaurus  mesial","Late Cretaceous",8.56,7.34,0.857476635514019,1.72897196261682,8.5,0.588235294117647,14.8
"Majungasaurus  lateral","Late Cretaceous",13.1,8.91,0.680152671755725,2.07175572519084,9.5,0.526315789473684,27.14
"Majungasaurus  lateral","Late Cretaceous",13.9,7.58,0.545323741007194,1.75539568345324,10,0.5,24.4
"Majungasaurus  lateral","Late Cretaceous",12.56,6.77,0.539012738853503,1.66799363057325,10,0.5,20.95
"Majungasaurus  lateral","Late Cretaceous",12.27,6.45,0.525672371638142,1.61695191524042,10,0.5,19.84
"Majungasaurus  lateral","Late Cretaceous",11.73,5.99,0.510656436487639,1.54134697357204,10.62,0.470809792843691,18.08
"Majungasaurus  lateral","Late Cretaceous",11.49,5.89,0.512619669277633,1.61618798955614,11.25,0.444444444444444,18.57
"Majungasaurus  lateral","Late Cretaceous",10.79,8.22,0.761816496756256,2.12326227988879,8,0.625,22.91
"Majungasaurus  lateral","Late Cretaceous",13.02,8.38,0.643625192012289,1.75576036866359,9,0.555555555555556,22.86
"Majungasaurus  lateral","Late Cretaceous",14.63,7.85,0.536568694463431,1.57416267942584,9,0.555555555555556,23.03
"Majungasaurus  lateral","Late Cretaceous",14.22,7.87,0.553445850914205,1.514064697609,9.5,0.526315789473684,21.53
"Majungasaurus  lateral","Late Cretaceous",13.67,7.82,0.57205559619605,1.82809070958303,10,0.5,24.99
"Majungasaurus  lateral","Late Cretaceous",12.96,8.45,0.652006172839506,1.89583333333333,10,0.5,24.57
"Majungasaurus  lateral","Late Cretaceous",12.82,6.94,0.541341653666147,1.77535101404056,10.5,0.476190476190476,22.76
"Majungasaurus  lateral","Late Cretaceous",11.07,6.07,0.5483288166215,1.69647696476965,11.66,0.428816466552316,18.78
"Majungasaurus  mesial","Late Cretaceous",12.99,9.46,0.73,2.32,12,0.416666666666667,30.11
"Majungasaurus  mesial","Late Cretaceous",12.41,9.26,0.75,2.18,10,0.5,27.05
"Majungasaurus  mesial","Late Cretaceous",12.51,8.3,0.66,2.21,11,0.454545454545455,27.69
"Majungasaurus  mesial","Late Cretaceous",12.08,11.09,0.92,2.61,9,0.555555555555556,31.52
"Majungasaurus  mesial","Late Cretaceous",14.81,11.72,0.79,2.19,8.5,0.588235294117647,32.38
"Majungasaurus  mesial","Late Cretaceous",14.6,9.13,0.63,2.17,9.8,0.510204081632653,31.68
"Majungasaurus  lateral","Late Cretaceous",18.3,8.62,0.47,2.02,9,0.555555555555556,36.9
"Majungasaurus  lateral","Late Cretaceous",18.37,9.21,0.5,2.07,9,0.555555555555556,38.08
"Majungasaurus  lateral","Late Cretaceous",17.99,8.49,0.47,1.67,7.5,0.666666666666667,30
"Majungasaurus  lateral","Late Cretaceous",18.93,8.86,0.47,1.88,10,0.5,35.54
"Majungasaurus  lateral","Late Cretaceous",18.17,9.1,0.5,2.13,9,0.555555555555556,38.68
"Majungasaurus  lateral","Late Cretaceous",16.34,6.54,0.4,1.8,9.5,0.526315789473684,29.36
"Majungasaurus  lateral","Late Cretaceous",7.88,3.47,0.44,1.58,14,0.357142857142857,12.45
"Majungasaurus  mesial","Late Cretaceous",8.81,7.2,0.82,2.26,9,0.555555555555556,19.88
"Majungasaurus  lateral","Late Cretaceous",13.3,8.56,0.64,1.91,9.5,0.526315789473684,25.37
"Majungasaurus  lateral","Late Cretaceous",14.24,7.72,0.54,1.76,11,0.454545454545455,25.13
"Majungasaurus  lateral","Late Cretaceous",12.66,7.12,0.56,1.57,10,0.5,19.93
"Majungasaurus  lateral","Late Cretaceous",12.53,6.69,0.53,1.53,11,0.454545454545455,19.21
"Majungasaurus  lateral","Late Cretaceous",12.28,6.7,0.55,1.46,11,0.454545454545455,17.87
"Majungasaurus  lateral","Late Cretaceous",11.72,6.29,0.54,1.38,11,0.454545454545455,16.19
"Majungasaurus  lateral","Late Cretaceous",9.33,5.36,0.57,1.55,11,0.454545454545455,14.48
"Majungasaurus  mesial","Late Cretaceous",10.91,8.48,0.78,2.1,8.5,0.588235294117647,22.88
"Majungasaurus  mesial","Late Cretaceous",13.53,8.27,0.61,1.69,9,0.555555555555556,22.87
"Majungasaurus  lateral","Late Cretaceous",13.9,7.7,0.57,1.73,10,0.5,24.08
"Majungasaurus  lateral","Late Cretaceous",13.5,7.77,0.58,1.91,11,0.454545454545455,25.75
"Majungasaurus  lateral","Late Cretaceous",12.82,8.59,0.67,1.85,10,0.5,23.76
"Majungasaurus  lateral","Late Cretaceous",13.17,7.05,0.54,1.75,9.5,0.526315789473684,23
"Majungasaurus  lateral","Late Cretaceous",11.26,5.79,0.51,1.66,12,0.416666666666667,18.73
"Majungasaurus  lateral","Late Cretaceous",12.88,5.25,0.41,1.45,12,0.416666666666667,18.71
"Majungasaurus  lateral","Late Cretaceous",16.9,8.67,0.51,2.23,9.3,0.537634408602151,37.63
"Majungasaurus  lateral","Late Cretaceous",17.1,8.81,0.52,2.05,10,0.5,35.01
"Abelisauridae","Late Cretaceous",10.95,4.6,0.420091324200913,1.75799086757991,11.5,0.434782608695652,19.25
"Abelisauridae","Late Cretaceous",10.5,4.18,0.398095238095238,1.86190476190476,13.125,0.380952380952381,19.55
"Abelisauridae","Late Cretaceous",13.43,7.25,0.539836187639613,2.55174981384959,11.25,0.444444444444444,34.27
"Abelisauridae","Late Cretaceous",15.36,7.35,0.478515625,1.60611979166667,10,0.5,24.67
"Abelisauridae","Middle Cretaceous",11.4,6.1,0.535087719298246,1.92982456140351,13,0.384615384615385,22
"Abelisauridae","Middle Cretaceous",13.01,6.69,0.514219830899308,1.2782475019216,13,0.384615384615385,16.63
"Abelisauridae","Late Cretaceous",16.5,8.4,0.509090909090909,2.01818181818182,14,0.357142857142857,33.3
"Monolophosaurus","Middle Jurassic",15.36,11.01,0.716796875,2.19401041666667,17.5,0.285714285714286,33.7
"Monolophosaurus","Middle Jurassic",19.36,9.89,0.510847107438017,2.14411157024793,16,0.3125,41.51
"Monolophosaurus","Middle Jurassic",15.95,5.76,0.361128526645768,1.11034482758621,15,0.333333333333333,17.71
"Monolophosaurus","Middle Jurassic",13.66,6.17,0.451683748169839,2.08199121522694,17.5,0.285714285714286,25.05
"Monolophosaurus","Middle Jurassic",13.07,7.13,0.545524100994644,1.59372609028309,18,0.277777777777778,20.83
"Monolophosaurus","Middle Jurassic",10.72,6.66,0.621268656716418,1.93,17.5,0.285714285714286,20.71
"Monolophosaurus","Middle Jurassic",12.01,6.58,0.547876769358868,1.79683597002498,17.5,0.285714285714286,21.58
"Monolophosaurus","Middle Jurassic",12.31,5.66,0.45978878960195,1.61251015434606,16,0.3125,19.85
"Monolophosaurus","Middle Jurassic",12.93,4.94,0.382057231245166,1.63186388244393,20,0.25,21.1
"Monolophosaurus","Middle Jurassic",9.86,5.45,0.552738336713996,1.71196754563895,19.16,0.260960334029228,16.88
"Torvosaurus lateral","Late Jurassic",42.43,21.09,0.497053971246759,2.48126325712939,7,0.714285714285714,105.28
"Torvosaurus lateral","Late Jurassic",40.44,21.54,0.532640949554896,2.5217606330366,7.5,0.666666666666667,101.98
"Torvosaurus lateral","Late Jurassic",45.52,16.4,0.360281195079086,2.33743409490334,8,0.625,106.4
"Torvosaurus lateral","Late Jurassic",24.81,13.74,0.553808948004837,1.75453446191052,9.5,0.526315789473684,43.53
"Torvosaurus lateral","Late Jurassic",32.2,15.8,0.490683229813665,1.89751552795031,8,0.625,61.1
"Torvosaurus lateral","Late Jurassic",47.99,22.89,0.48,2.95,5,1,141.52
"Torvosaurus lateral","Late Jurassic",25.35,12.62,0.5,2.46,7.5,0.666666666666667,62.29
"Torvosaurus lateral","Late Jurassic",30.65,17.55,0.57,2.6,6,0.833333333333333,79.79
"Torvosaurus lateral","Late Jurassic",22.68,15.15,0.67,2.52,8,0.625,57.21
"Torvosaurus lateral","Late Jurassic",26.31,12.02,0.46,2.17,10,0.5,57.2
"Torvosaurus lateral","Late Jurassic",36.27,16.93,0.47,2.53,6,0.833333333333333,91.72
"Torvosaurus lateral","Late Jurassic",23.23,13.75,0.59,2.25,8,0.625,52.25
"Torvosaurus lateral","Late Jurassic",25.11,14.17,0.56,2.61,8,0.625,65.5
"Torvosaurus lateral","Late Jurassic",39.71,21.6,0.54,2.76,7,0.714285714285714,109.51
"Torvosaurus lateral","Late Jurassic",16.26,7.87,0.48,2.38,10,0.5,38.76
"Torvosaurus lateral","Late Jurassic",26.39,14.58,0.55,2,7,0.714285714285714,52.77
"Torvosaurus lateral","Late Jurassic",21.54,15.58,0.72,2.53,8,0.625,54.46
"Torvosaurus lateral","Late Jurassic",47.09,16.75,0.36,2.23,7,0.714285714285714,104.99
"Torvosaurus lateral","Late Jurassic",48.35,20.64,0.43,3.01,6,0.833333333333333,145.55
"Torvosaurus lateral","Late Jurassic",25.75,14.04,0.55,2.73,7,0.714285714285714,70.29
"Torvosaurus lateral","Late Jurassic",42.44,23.49,0.55,2.91,6.5,0.769230769230769,123.67
"Torvosaurus lateral","Late Jurassic",29.1,16.41,0.56,2.89,7,0.714285714285714,84.13
"Torvosaurus lateral","Late Jurassic",48.38,19.94,0.41,3.01,7.5,0.666666666666667,145.54
"Baryonyx lateral","Early Cretaceous",12.06,10.01,0.830016583747927,2.20812603648425,35,0.142857142857143,26.63
"Baryonyx lateral","Early Cretaceous",13.4,10.4,0.776119402985075,2.19328358208955,35,0.142857142857143,29.39
"Baryonyx lateral","Early Cretaceous",15.31,11.75,0.767472240365774,2.20052253429131,40,0.125,33.69
"Baryonyx lateral","Early Cretaceous",9.01,8.44,0.936736958934517,2.30743618201998,35,0.142857142857143,20.79
"Baryonyx lateral","Early Cretaceous",11.79,10.73,0.910093299406277,2.04834605597964,35,0.142857142857143,24.15
"Baryonyx lateral","Early Cretaceous",9.3,7.95,0.854838709677419,1.9258064516129,35,0.142857142857143,17.91
"Baryonyx lateral","Early Cretaceous",9.27,7.34,0.791801510248112,2.2049622437972,35,0.142857142857143,20.44
"Baryonyx lateral","Early Cretaceous",15.84,13.25,0.836489898989899,2.3030303030303,35,0.142857142857143,36.48
"Baryonyx lateral","Early Cretaceous",19.3,14.41,0.746632124352332,2.21917098445596,30,0.166666666666667,42.83
"Baryonyx lateral","Early Cretaceous",11.69,11.19,0.957228400342173,2.45680068434559,35,0.142857142857143,28.72
"Baryonyx lateral","Early Cretaceous",15.76,12.05,0.764593908629442,2.20812182741117,35,0.142857142857143,34.8
"Baryonyx lateral","Early Cretaceous",13.18,10.88,0.825493171471927,2.25113808801214,35,0.142857142857143,29.67
"Baryonyx lateral","Early Cretaceous",12.12,10.35,0.853960396039604,2.24339933993399,35,0.142857142857143,27.19
"Baryonyx lateral","Early Cretaceous",16.42,15.19,0.925091352009744,2.34774665042631,35,0.142857142857143,38.55
"Baryonyx lateral","Early Cretaceous",16.47,13.65,0.828779599271403,2.07164541590771,35,0.142857142857143,34.12
"Suchomimus lateral","Middle Cretaceous",18.6,14.9,0.801075268817204,2.60752688172043,25,0.2,48.5
"Suchomimus lateral","Middle Cretaceous",15.2,11.3,0.743421052631579,2.13157894736842,30,0.166666666666667,32.4
"Suchomimus lateral","Middle Cretaceous",15.9,10.8,0.679245283018868,2.62264150943396,25,0.2,41.7
"Suchomimus lateral","Middle Cretaceous",15.1,9.8,0.649006622516556,2.72847682119205,25,0.2,41.2
