"Taxa (Genus)","Epoch","Log_CBL","Log_CBW","Log_CH","Log_CBR","Log_CHR","Log_DC"
"Eoraptor","Late Triassic",0.397940008672038,0.209515014542631,0.82865989653532,-0.188424994129407,0.430719887863282,1.39794000867204
"Eoraptor","Late Triassic",0.459392487759231,0.267171728403014,0.854306041801081,-0.192220759356217,0.39491355404185,1.57403126772772
"Eoraptor","Late Triassic",0.296665190261531,0.170261715394957,0.75815462196739,-0.126403474866574,0.461489431705859,1.47712125471966
"Eoraptor","Late Triassic",0.276461804173244,0.190331698170291,0.786751422145561,-0.0861301060029526,0.510289617972317,2
"Eoraptor","Late Triassic",0.3654879848909,0.255272505103306,0.715167357848458,-0.110215479787594,0.349679372957558,1.54406804435028
"Eoraptor","Late Triassic",0.324282455297693,0.178976947293169,0.756636108245848,-0.145305508004523,0.432353652948155,2
"Eoraptor","Late Triassic",0.482873583608754,0.294466226161593,0.818225893613955,-0.188407357447161,0.335352310005202,1.47712125471966
"Eoraptor","Late Triassic",0.462397997898956,0.2405492482826,0.73559889969818,-0.221848749616356,0.273200901799224,1.47712125471966
"Eoraptor","Late Triassic",0.432969290874406,0.198657086954423,0.790285164033242,-0.234312203919983,0.357315873158836,1.39794000867204
"Eoraptor","Late Triassic",0.426511261364575,0.260071387985075,0.69810054562339,-0.1664398733795,0.271589284258815,1.47712125471966
"Eoraptor","Late Triassic",0.40823996531185,0.227886704613674,0.673941998634088,-0.180353260698176,0.265702033322238,1.47712125471966
"Eoraptor","Late Triassic",0.468347330412157,0.271841606536499,0.725911632295048,-0.196505723875658,0.257564301882891,1.47712125471966
"Eoraptor","Late Triassic",0.404833716619938,0.190331698170291,0.812913356642856,-0.214502018449647,0.408079640022918,1.51188336097887
"Eoraptor","Late Triassic",0.52244423350632,0.260071387985075,0.829946695941636,-0.262372845521245,0.307502462435316,1.60205999132796
"Eoraptor","Late Triassic",0.456366033129043,0.204119982655925,0.683947130751512,-0.252246050473118,0.227581097622469,1.51188336097887
"Eoraptor","Late Triassic",0.447158031342219,0.176091259055681,0.673020907128896,-0.271066772286538,0.225862875786677,2
"Coelophysis","Late Triassic",0.230448921378274,-0.267606240177031,0.602059991327962,-0.498055161555305,0.371611069949688,2
"Coelophysis","Late Triassic",0.477121254719662,0.173186268412274,0.913813852383717,-0.303934986307388,0.436692597664054,1.69897000433602
"Coelophysis","Late Triassic",0.612783856719735,0.136720567156407,0.949390006644913,-0.476063289563329,0.336606149925177,1.67209785793572
"Coelophysis","Late Triassic",0.643452676486187,0.212187604403958,1.06445798922692,-0.43126507208223,0.421005312740731,1.60205999132796
"Coelophysis","Late Triassic",0.740362689494244,0.232996110392154,0.986771734266245,-0.50736657910209,0.246409044772001,1.60205999132796
"Coelophysis","Late Triassic",0.770852011642144,0.252853030979893,0.968482948553935,-0.517998980662251,0.197630936911791,1.60205999132796
"Coelophysis","Late Triassic",0.732393759822969,0.267171728403014,0.8750612633917,-0.465222031419955,0.142667503568732,1.54406804435028
"Coelophysis","Late Triassic",0.672097857935718,0.198657086954423,0.740362689494244,-0.473440770981295,0.0682648315585264,1.54406804435028
"Coelophysis","Late Triassic",0.716003343634799,0.230448921378274,0.792391689498254,-0.485554422256525,0.0763883458634547,1.60205999132796
"Coelophysis","Late Triassic",0.591064607026499,0.173186268412274,0.732393759822969,-0.417878338614225,0.141329152796469,1.54406804435028
"Coelophysis","Late Triassic",0.518513939877887,0.0569048513364726,0.698970004336019,-0.461609088541415,0.180456064458131,1.60205999132796
"Coelophysis","Late Triassic",0.544068044350276,0.212187604403958,0.612783856719735,-0.331880439946318,0.0687158123694598,1.54406804435028
"Coelophysis","Late Triassic",0.525044807036845,0.269512944217916,0.518513939877887,-0.255531862818929,-0.00653086715895778,1.60205999132796
"Coelophysis","Late Triassic",0.549003262025788,-0.0315170514460649,0.537819095073274,-0.580520313471853,-0.0111841669525137,1.60205999132796
"Coelophysis","Late Triassic",0.513217600067939,-0.0655015487564323,0.57978359661681,-0.578719148824371,0.0665659965488711,1.60205999132796
"Coelophysis","Late Triassic",0.278753600952829,0.0644579892269184,0.707570176097936,-0.21429561172591,0.428816575145107,2
"Coelophysis","Late Triassic",0.414973347970818,-0.0222763947111523,0.826074802700826,-0.43724974268197,0.411101454730008,1.65321251377534
"Coelophysis","Late Triassic",0.491361693834273,0.195899652409234,0.792391689498254,-0.295462041425039,0.301029995663981,1.60205999132796
"Liliensternus","Late Triassic",0.8208579894397,0.397940008672038,0.945960703577569,-0.422917980767662,0.125102714137869,1.30102999566398
"Liliensternus","Late Triassic",0.871572935545879,0.477121254719662,1.0111473607758,-0.394451680826216,0.139574425229919,1.39794000867204
"Liliensternus","Late Triassic",0.706717782336759,0.544068044350276,0.904174368284164,-0.162649737986483,0.197456585947405,1.39794000867204
"Liliensternus","Late Triassic",0.843232778098009,0.544068044350276,1.02571538390134,-0.299164733747734,0.182482605803331,1.30102999566398
"Liliensternus","Late Triassic",0.921166050637739,0.544068044350276,1.02242837118549,-0.377098006287463,0.101262320547748,1.30102999566398
"Liliensternus","Late Triassic",0.76715586608218,0.477121254719662,0.946452265013073,-0.290034611362518,0.179296398930893,1.39794000867204
"Liliensternus","Late Triassic",0.821513528404773,0.397940008672038,1.05037975626146,-0.423573519732736,0.228866227856685,1.47712125471966
"Genyodectes","Middle Cretaceous",1.36229393796423,1.0696680969116,1.78204241662055,-0.292625841052636,0.418301291319745,1.06069784035361
