"TaxonToothtype","Epoch","Log_CBL","Log_CBW","Log_CBR","Log_CHR","Log_DC","Log_DDL","Log_CH"
"Eoraptor","Late Triassic",0.916290731874155,0.482426149244293,-0.433864582629862,0.991769193050061,3.2188758248682,-1.6094379124341,1.90805992492422
"Eoraptor","Late Triassic",1.05779029414785,0.615185639090233,-0.442604655057621,0.909322062558062,3.62434093297637,-2.01490302054226,1.96711235670592
"Eoraptor","Late Triassic",0.683096844706444,0.392042087776024,-0.29105475693042,1.0626186860202,3.40119738166216,-1.79175946922805,1.74571553072665
"Eoraptor","Late Triassic",0.841567185678219,0.587786664902119,-0.253780520776099,0.805166511499579,3.55534806148941,-1.94591014905531,1.6467336971778
"Eoraptor","Late Triassic",1.11185751541813,0.678033542749897,-0.433823972668233,0.772177229919095,3.40119738166216,-1.79175946922805,1.88403474533723
"Eoraptor","Late Triassic",1.06471073699243,0.553885113226438,-0.510825623765991,0.629068323875423,3.40119738166216,-1.79175946922805,1.69377906086785
"Eoraptor","Late Triassic",0.99694863489161,0.457424847038875,-0.539523787852734,0.822750203025687,3.2188758248682,-1.6094379124341,1.8196988379173
"Eoraptor","Late Triassic",0.982078472412158,0.598836501088704,-0.383241971323454,0.625357437351269,3.40119738166216,-1.79175946922805,1.60743590976343
"Eoraptor","Late Triassic",0.940007258491471,0.524728528934982,-0.415278729556489,0.611801541105993,3.40119738166216,-1.79175946922805,1.55180879959746
"Eoraptor","Late Triassic",1.07840958135059,0.625938430866495,-0.452471150484095,0.593063722002963,3.40119738166216,-1.79175946922805,1.67147330335355
"Eoraptor","Late Triassic",0.932164081030445,0.438254930931155,-0.49390915009929,0.939638095871146,3.48124008933569,-1.87180217690159,1.87180217690159
"Eoraptor","Late Triassic",1.20297230399235,0.598836501088704,-0.604135802903648,0.70805058606252,3.68887945411394,-2.07944154167984,1.91102289005487
"Eoraptor","Late Triassic",1.05082162483176,0.470003629245736,-0.580817995586026,0.52402484283272,3.48124008933569,-1.87180217690159,1.57484646766448
"Coelophysis lateral","Late Triassic",1.09861228866811,0.398776119957368,-0.699836168710742,1.0055218656021,3.91202300542815,-2.30258509299405,2.10413415427021
"Coelophysis lateral","Late Triassic",1.41098697371026,0.314810739840034,-1.09617623387023,0.775064303027832,3.85014760171006,-2.24070968927596,2.18605127673809
"Coelophysis lateral","Late Triassic",1.48160454092422,0.488580014818671,-0.993024526105545,0.969400557188103,3.68887945411394,-2.07944154167984,2.45100509811232
"Coelophysis lateral","Late Triassic",1.70474809223843,0.536493370514568,-1.16825472172386,0.567377793270912,3.68887945411394,-2.07944154167984,2.27212588550934
"Coelophysis lateral","Late Triassic",1.77495235091167,0.582215619852664,-1.19273673105901,0.455062049247537,3.68887945411394,-2.07944154167984,2.23001440015921
"Coelophysis lateral","Late Triassic",1.68639895357023,0.615185639090233,-1.07121331448,0.328504066972036,3.55534806148941,-1.94591014905531,2.01490302054226
"Coelophysis lateral","Late Triassic",1.54756250871601,0.457424847038875,-1.09013766167714,0.157185583522412,3.55534806148941,-1.94591014905531,1.70474809223843
"Coelophysis lateral","Late Triassic",1.64865862558738,0.53062825106217,-1.11803037452521,0.175890666463664,3.68887945411394,-2.07944154167984,1.82454929205105
"Coelophysis lateral","Late Triassic",1.3609765531356,0.398776119957368,-0.962200433178233,0.325422400434628,3.55534806148941,-1.94591014905531,1.68639895357023
"Coelophysis lateral","Late Triassic",1.19392246847243,0.131028262406404,-1.06289420606603,0.415515443961666,3.68887945411394,-2.07944154167984,1.6094379124341
"Coelophysis lateral","Late Triassic",1.25276296849537,0.488580014818671,-0.764182953676697,0.158224005214894,3.55534806148941,-1.94591014905531,1.41098697371026
"Coelophysis lateral","Late Triassic",1.20896034583698,0.62057648772511,-0.588383858111865,-0.0150378773645406,3.68887945411394,-2.07944154167984,1.19392246847243
"Coelophysis lateral","Late Triassic",1.26412672714568,-0.0725706928348354,-1.33669741998052,-0.0257524961024146,3.68887945411394,-2.07944154167984,1.23837423104327
"Coelophysis lateral","Late Triassic",1.18172719537862,-0.150822889734584,-1.3325500851132,0.153273871353724,3.68887945411394,-2.07944154167984,1.33500106673234
"Coelophysis lateral","Late Triassic",0.955511445027436,-0.0512932943875506,-1.00680473941499,0.946596081369484,3.80666248977032,-2.19722457733622,1.90210752639692
"Coelophysis lateral","Late Triassic",1.1314021114911,0.451075619360217,-0.680326492130884,0.693147180559945,3.68887945411394,-2.07944154167984,1.82454929205105
"Ceratosaurus lateral","Late Jurassic",2.94443897916644,1.87180217690159,-1.07263680226485,0.605178407613988,2.56494935746154,-0.955511445027436,3.54961738678043
"Ceratosaurus lateral","Late Jurassic",2.91235066461494,1.98787434815435,-0.924476316460594,0.562716565613671,2.59001713419062,-0.980579221756517,3.47506723022861
"Ceratosaurus lateral","Late Jurassic",2.85647020622048,2.17475172148416,-0.681718484736322,0.687383475843195,2.4423470353692,-0.832909122935104,3.54385368206368
"Ceratosaurus lateral","Late Jurassic",2.70805020110221,2.07944154167984,-0.628608659422374,0.634811603546982,2.52572864430826,-0.916290731874155,3.34286180464919
"Ceratosaurus lateral","Late Jurassic",3.40219688199524,2.43536620422786,-0.966830677767375,0.73248955951024,2.19722457733622,-0.587786664902119,4.13468644150548
"Ceratosaurus lateral","Late Jurassic",3.31491301306514,2.27726728500976,-1.03764572805539,0.778764660169254,2.33505228313155,-0.725614370697447,4.0936776732344
"Ceratosaurus mesial","Late Jurassic",3.18635263316264,2.67621547758219,-0.510137155580449,0.340889855350174,2.07944154167984,-0.470003629245736,3.52724248851281
