"CladeToothtype","Epoch","Log_CBL","Log_CBW","Log_CBR","Log_CHR","Log_DC","Log_DDL","Log_CH"
"Basalmost Theropoda","Late Triassic",0.916290731874155,0.482426149244293,-0.433864582629862,0.991769193050061,3.2188758248682,-1.6094379124341,1.90805992492422
"Basalmost Theropoda","Late Triassic",1.05779029414785,0.615185639090233,-0.442604655057621,0.909322062558062,3.62434093297637,-2.01490302054226,1.96711235670592
"Basalmost Theropoda","Late Triassic",0.683096844706444,0.392042087776024,-0.29105475693042,1.0626186860202,3.40119738166216,-1.79175946922805,1.74571553072665
"Basalmost Theropoda","Late Triassic",0.841567185678219,0.587786664902119,-0.253780520776099,0.805166511499579,3.55534806148941,-1.94591014905531,1.6467336971778
"Basalmost Theropoda","Late Triassic",1.11185751541813,0.678033542749897,-0.433823972668233,0.772177229919095,3.40119738166216,-1.79175946922805,1.88403474533723
"Basalmost Theropoda","Late Triassic",1.06471073699243,0.553885113226438,-0.510825623765991,0.629068323875423,3.40119738166216,-1.79175946922805,1.69377906086785
"Basalmost Theropoda","Late Triassic",0.99694863489161,0.457424847038875,-0.539523787852734,0.822750203025687,3.2188758248682,-1.6094379124341,1.8196988379173
"Basalmost Theropoda","Late Triassic",0.982078472412158,0.598836501088704,-0.383241971323454,0.625357437351269,3.40119738166216,-1.79175946922805,1.60743590976343
"Basalmost Theropoda","Late Triassic",0.940007258491471,0.524728528934982,-0.415278729556489,0.611801541105993,3.40119738166216,-1.79175946922805,1.55180879959746
"Basalmost Theropoda","Late Triassic",1.07840958135059,0.625938430866495,-0.452471150484095,0.593063722002963,3.40119738166216,-1.79175946922805,1.67147330335355
"Basalmost Theropoda","Late Triassic",0.932164081030445,0.438254930931155,-0.49390915009929,0.939638095871146,3.48124008933569,-1.87180217690159,1.87180217690159
"Basalmost Theropoda","Late Triassic",1.20297230399235,0.598836501088704,-0.604135802903648,0.70805058606252,3.68887945411394,-2.07944154167984,1.91102289005487
"Basalmost Theropoda","Late Triassic",1.05082162483176,0.470003629245736,-0.580817995586026,0.52402484283272,3.48124008933569,-1.87180217690159,1.57484646766448
"Basalmost Theropoda","Late Triassic",2.01223279198639,1.48839958405704,-0.523833207929342,0.661915857440143,2.99573227355399,-1.38629436111989,2.67414864942653
"Basalmost Theropoda","Late Triassic",1.28370777234479,0.46373401623214,-0.819973756112649,0.985320537120413,3.74950407593037,-2.14006616349627,2.2690283094652
"Non-averostran Neotheropoda Lateral","Late Triassic",1.09861228866811,0.398776119957368,-0.699836168710742,1.0055218656021,3.91202300542815,-2.30258509299405,2.10413415427021
"Non-averostran Neotheropoda Lateral","Late Triassic",1.41098697371026,0.314810739840034,-1.09617623387023,0.775064303027832,3.85014760171006,-2.24070968927596,2.18605127673809
"Non-averostran Neotheropoda Lateral","Late Triassic",1.48160454092422,0.488580014818671,-0.993024526105545,0.969400557188103,3.68887945411394,-2.07944154167984,2.45100509811232
"Non-averostran Neotheropoda Lateral","Late Triassic",1.70474809223843,0.536493370514568,-1.16825472172386,0.567377793270912,3.68887945411394,-2.07944154167984,2.27212588550934
"Non-averostran Neotheropoda Lateral","Late Triassic",1.77495235091167,0.582215619852664,-1.19273673105901,0.455062049247537,3.68887945411394,-2.07944154167984,2.23001440015921
"Non-averostran Neotheropoda Lateral","Late Triassic",1.68639895357023,0.615185639090233,-1.07121331448,0.328504066972036,3.55534806148941,-1.94591014905531,2.01490302054226
"Non-averostran Neotheropoda Lateral","Late Triassic",1.54756250871601,0.457424847038875,-1.09013766167714,0.157185583522412,3.55534806148941,-1.94591014905531,1.70474809223843
"Non-averostran Neotheropoda Lateral","Late Triassic",1.64865862558738,0.53062825106217,-1.11803037452521,0.175890666463664,3.68887945411394,-2.07944154167984,1.82454929205105
"Non-averostran Neotheropoda Lateral","Late Triassic",1.3609765531356,0.398776119957368,-0.962200433178233,0.325422400434628,3.55534806148941,-1.94591014905531,1.68639895357023
"Non-averostran Neotheropoda Lateral","Late Triassic",1.19392246847243,0.131028262406404,-1.06289420606603,0.415515443961666,3.68887945411394,-2.07944154167984,1.6094379124341
"Non-averostran Neotheropoda Lateral","Late Triassic",1.25276296849537,0.488580014818671,-0.764182953676697,0.158224005214894,3.55534806148941,-1.94591014905531,1.41098697371026
