"Clade","Epoch","CBL","CBW","CH","CBR","CHR","DC"
"Carcharodontosauridae","Middle Cretaceous",30.89,16.06,62.87,0.519909355778569,2.03528650048559,15
"Carcharodontosauridae","Middle Cretaceous",31.06,16.8,55.84,0.540888602704443,1.79781068898905,15
"Carcharodontosauridae","Middle Cretaceous",27.93,13.63,47.26,0.488005728607232,1.69208736126029,15
"Carcharodontosauridae","Middle Cretaceous",24.87,13.54,39.66,0.54443104141536,1.59469240048251,16
"Carcharodontosauridae","Middle Cretaceous",20.07,11.51,29.11,0.573492775286497,1.45042351768809,15
"Carcharodontosauridae","Middle Cretaceous",31.09,20.01,73.41,0.643615310389193,2.36120939208749,14.16
"Carcharodontosauridae","Middle Cretaceous",32.27,16.53,68.47,0.51224047102572,2.12178493957236,13
"Carcharodontosauridae","Middle Cretaceous",31.69,16.38,77.54,0.516882297254654,2.44682865257179,13.5
"Carcharodontosauridae","Middle Cretaceous",30.96,18.08,67.57,0.583979328165375,1.93992248062016,12.5
"Carcharodontosauridae","Middle Cretaceous",32.79,15.19,60.06,0.46325099115584,1.30710582494663,12.81
"Carcharodontosauridae","Middle Cretaceous",21.7,16.26,52.23,0.749308755760369,2.40691244239631,14.1
"Carcharodontosauridae","Middle Cretaceous",26.84,16.56,72.35,0.61698956780924,2.69560357675112,13.7
"Carcharodontosauridae","Middle Cretaceous",26.73,17.56,62.6,0.656939768050879,2.34193789749345,14.2
"Carcharodontosauridae","Middle Cretaceous",35.24,20.59,79.23,0.58427922814983,2.24829738933031,13.4
"Carcharodontosauridae","Middle Cretaceous",36.6,20.64,87.09,0.563934426229508,2.37950819672131,13.6
"Carcharodontosauridae","Middle Cretaceous",42.07,20.74,93.08,0.492987877347278,2.21250297123841,12.9
"Carcharodontosauridae","Middle Cretaceous",22.43,10.87,33.79,0.484618814088275,1.50646455639768,16
"Carcharodontosauridae","Middle Cretaceous",37.21,21.44,90.75,0.576189196452566,2.43886052136522,15.3
"Carcharodontosauridae","Middle Cretaceous",40.79,17.86,82.3,0.437852414807551,2.01765138514342,12
"Carcharodontosauridae","Middle Cretaceous",31.94,16.73,66.78,0.523794614902943,2.09079524107702,14.9
"Carcharodontosauridae","Middle Cretaceous",23.91,17.1,58.55,0.715181932245922,2.44876620660811,13
"Carcharodontosauridae","Middle Cretaceous",29.63,17.63,72.23,0.59500506243672,2.43773202834965,0
"Carcharodontosauridae","Middle Cretaceous",29.11,19.33,70.62,0.664032978357952,2.42597045688767,11.5
"Carcharodontosauridae","Middle Cretaceous",30.6,18.75,60.48,0.612745098039216,1.97647058823529,13
"Carcharodontosauridae","Middle Cretaceous",31.1,17.19,64.85,0.552733118971061,2.08520900321543,16.5
"Carcharodontosauridae","Middle Cretaceous",26.08,16.58,43.01,0.635736196319018,1.64915644171779,13.3
"Carcharodontosauridae","Middle Cretaceous",28.26,14.35,47.47,0.507784854918613,1.67975937721161,14.5
"Carcharodontosauridae","Middle Cretaceous",24.96,13.22,38.96,0.529647435897436,1.56089743589744,15.5
"Carcharodontosauridae","Middle Cretaceous",20.42,11.46,33.13,0.561214495592556,1.62242899118511,15
"Carcharodontosauridae","Middle Cretaceous",15.37,9.1,16.04,0.59206245933637,1.04359141184125,16.7
"Carcharodontosauridae","Middle Cretaceous",28.98,16.54,68.15,0.570738440303658,2.35162180814355,17.5
"Carcharodontosauridae","Middle Cretaceous",31.35,16.71,62.15,0.533014354066986,1.98245614035088,12.8
"Carcharodontosauridae","Middle Cretaceous",24,11.5,42,0.479166666666667,1.75,16
"Carcharodontosauridae","Middle Cretaceous",41.46,15.15,71.01,0.365412445730825,1.71273516642547,9
"Carcharodontosauridae","Middle Cretaceous",41.04,14.88,73.96,0.362573099415205,1.80214424951267,9
"Carcharodontosauridae","Middle Cretaceous",41.17,14.88,73.17,0.361428224435268,1.77726499878552,9
