"Epoch","Taxa (Genus)","CBL","CBW","CH","CBR","CHR","DDL"
"Late Jurassic","Ceratosaurus",32.95,14,75,0.424886191198786,2.27617602427921,0.454545454545455
"Late Jurassic","Ceratosaurus",27.52,10.53,52.38,0.382630813953488,1.90334302325581,0.416666666666667
"Late Jurassic","Ceratosaurus",20.79,9.12,38.11,0.438672438672439,1.83309283309283,0.476190476190476
"Late Cretaceous","Masiakasaurus",2.44,2.63,7.71,1.07786885245902,3.15983606557377,0.05
"Late Cretaceous","Masiakasaurus",2.24,2.54,6.64,1.13392857142857,2.96428571428571,0.142857142857143
"Late Cretaceous","Masiakasaurus",2.32,2.21,6.1,0.952586206896552,2.62931034482759,0.125
"Late Cretaceous","Masiakasaurus",2.79,3.48,7.7,1.24731182795699,2.75985663082437,0.166666666666667
"Late Cretaceous","Masiakasaurus",2.86,2.04,6.23,0.713286713286713,2.17832167832168,0.125
"Late Cretaceous","Masiakasaurus",3.04,1.85,4.76,0.608552631578947,1.56578947368421,0.125
"Late Cretaceous","Masiakasaurus",5.06,2.04,8.71,0.403162055335968,1.72134387351779,0.272776868521549
"Late Cretaceous","Masiakasaurus",2.41,1.29,4.58,0.535269709543568,1.90041493775934,0.125
"Late Cretaceous","Masiakasaurus",6.27,3.14,11.39,0.500797448165869,1.81658692185008,0.333333333333333
"Late Cretaceous","Masiakasaurus",2.76,1.37,4.34,0.496376811594203,1.57246376811594,0.142857142857143
"Late Cretaceous","Masiakasaurus",4.64,2.45,11.84,0.52801724137931,2.55172413793103,0.333333333333333
"Late Cretaceous","Masiakasaurus",4.47,3.93,7.46,0.879194630872483,1.66890380313199,0.344827586206897
"Late Cretaceous","Masiakasaurus",5.3,2.28,6.96,0.430188679245283,1.31320754716981,0.2
"Late Cretaceous","Masiakasaurus",6.15,3.02,14.25,0.491056910569106,2.31707317073171,0.222222222222222
"Late Cretaceous","Masiakasaurus",7.09,3.48,10.44,0.49083215796897,1.47249647390691,0.27027027027027
"Late Cretaceous","Masiakasaurus",4.62,2.5,11.64,0.541125541125541,2.51948051948052,0.333333333333333
"Late Cretaceous","Masiakasaurus",4.94,2.42,8.58,0.489878542510121,1.73684210526316,0.25
"Late Cretaceous","Masiakasaurus",4.94,2.42,6.8,0.489878542510121,1.37651821862348,0.25
"Late Cretaceous","Masiakasaurus",5.47,2.22,8.86,0.405850091407678,1.61974405850091,0.29940119760479
"Late Cretaceous","Masiakasaurus",5.15,3.03,13.34,1.7,0.4,0.333333333333333
"Late Cretaceous","Indosuchus",12.9,12.9,20,1,1.55038759689922,0.750750750750751
"Late Cretaceous","Indosuchus",16,13.2,30,0.825,1.875,0.555555555555556
"Late Cretaceous","Indosuchus",16,10,27,0.625,1.6875,0.5
"Late Cretaceous","Indosuchus",16.6,13.3,29.1,0.801204819277108,1.75301204819277,0.588235294117647
"Late Cretaceous","Indosuchus",19.47,9.1,29.4,0.46738572162301,1.51001540832049,0.416666666666667
"Late Cretaceous","Indosuchus",17.3,12.99,26.9,0.750867052023121,1.55491329479769,0.454545454545455
"Late Cretaceous","Indosuchus",16.59,10.66,27.26,0.642555756479807,1.64315852923448,0.05
"Late Cretaceous","Indosuchus",17.33,12.85,28.02,0.741488747836122,1.61684939411425,0.05
"Late Cretaceous","Indosuchus",13.55,10.54,26,0.777859778597786,1.91881918819188,0.05
"Late Cretaceous","Indosuchus",15.99,11.96,31.86,0.747967479674797,1.99249530956848,0.5
"Late Cretaceous","Majungasaurus",12.16,10.94,19.64,0.899671052631579,1.61513157894737,0.588235294117647
"Late Cretaceous","Majungasaurus",15.01,12.45,27.85,0.829447035309793,1.85542971352432,0.588235294117647
"Late Cretaceous","Majungasaurus",15.3,8.79,23.85,0.574509803921569,1.55882352941176,0.666666666666667
"Late Cretaceous","Majungasaurus",14.9,8.32,31.8,0.558389261744967,2.13422818791946,0.625
"Late Cretaceous","Majungasaurus",17.93,9.16,33.41,0.510875627440045,1.86335750139431,0.526315789473684
"Late Cretaceous","Majungasaurus",18.13,9.39,35.08,0.517926089354661,1.93491450634308,0.555555555555556
"Late Cretaceous","Majungasaurus",18.7,8.4,30.98,0.449197860962567,1.65668449197861,0.625
"Late Cretaceous","Majungasaurus",18.47,8.9,34.86,0.481862479696806,1.88738494856524,0.588235294117647
"Late Cretaceous","Majungasaurus",8.56,7.34,14.8,0.857476635514019,1.72897196261682,0.588235294117647
"Late Cretaceous","Majungasaurus",13.1,8.91,27.14,0.680152671755725,2.07175572519084,0.526315789473684
"Late Cretaceous","Majungasaurus",13.9,7.58,24.4,0.545323741007194,1.75539568345324,0.5
"Late Cretaceous","Majungasaurus",12.56,6.77,20.95,0.539012738853503,1.66799363057325,0.5
"Late Cretaceous","Majungasaurus",12.27,6.45,19.84,0.525672371638142,1.61695191524042,0.5
"Late Cretaceous","Majungasaurus",11.73,5.99,18.08,0.510656436487639,1.54134697357204,0.470809792843691
"Late Cretaceous","Majungasaurus",11.49,5.89,18.57,0.512619669277633,1.61618798955614,0.444444444444444
"Late Cretaceous","Majungasaurus",10.79,8.22,22.91,0.761816496756256,2.12326227988879,0.625
"Late Cretaceous","Majungasaurus",13.02,8.38,22.86,0.643625192012289,1.75576036866359,0.555555555555556
"Late Cretaceous","Majungasaurus",14.63,7.85,23.03,0.536568694463431,1.57416267942584,0.555555555555556
"Late Cretaceous","Majungasaurus",14.22,7.87,21.53,0.553445850914205,1.514064697609,0.526315789473684
"Late Cretaceous","Majungasaurus",13.67,7.82,24.99,0.57205559619605,1.82809070958303,0.5
"Late Cretaceous","Majungasaurus",12.96,8.45,24.57,0.652006172839506,1.89583333333333,0.5
"Late Cretaceous","Majungasaurus",12.82,6.94,22.76,0.541341653666147,1.77535101404056,0.476190476190476
"Late Cretaceous","Majungasaurus",11.07,6.07,18.78,0.5483288166215,1.69647696476965,0.428816466552316
